,company,model,engine,engine2,year,km,location,money
0,현대,쏘나타 더 브릴리언트,LPI 모던,,13/11(14년식),"70,918km",서울,890
1,현대,i30(신형),디젤 1.6 VGT PYL,,15/02,"91,000km",서울,"1,050"
2,현대,그랜드 스타렉스,어린이보호차,,15/11(16년식),"48,000km",서울,"1,890"
3,현대,뉴 아반떼 XD,1.6 VVT 디럭스,기본형,05/09,"108,000km",서울,200
4,현대,엑센트(신형),디젤 1.6 VGT 스마트,,14/08(15년식),"71,431km",부산,750
5,현대,쏘나타 더 브릴리언트,LPI 모던,,13/11(14년식),"70,918km",서울,890
6,현대,i30(신형),디젤 1.6 VGT PYL,,15/02,"91,000km",서울,"1,050"
7,현대,그랜드 스타렉스,어린이보호차,,15/11(16년식),"48,000km",서울,"1,890"
8,현대,뉴 아반떼 XD,1.6 VVT 디럭스,기본형,05/09,"108,000km",서울,200
9,현대,엑센트(신형),디젤 1.6 VGT 스마트,,14/08(15년식),"71,431km",부산,750
10,현대,쏘나타 더 브릴리언트,LPI 모던,,13/11(14년식),"70,918km",서울,890
11,현대,i30(신형),디젤 1.6 VGT PYL,,15/02,"91,000km",서울,"1,050"
12,현대,그랜드 스타렉스,어린이보호차,,15/11(16년식),"48,000km",서울,"1,890"
13,현대,뉴 아반떼 XD,1.6 VVT 디럭스,기본형,05/09,"108,000km",서울,200
14,현대,엑센트(신형),디젤 1.6 VGT 스마트,,14/08(15년식),"71,431km",부산,750
15,현대,쏘나타 더 브릴리언트,LPI 모던,,13/11(14년식),"70,918km",서울,890
16,현대,i30(신형),디젤 1.6 VGT PYL,,15/02,"91,000km",서울,"1,050"
17,현대,그랜드 스타렉스,어린이보호차,,15/11(16년식),"48,000km",서울,"1,890"
18,현대,뉴 아반떼 XD,1.6 VVT 디럭스,기본형,05/09,"108,000km",서울,200
19,현대,엑센트(신형),디젤 1.6 VGT 스마트,,14/08(15년식),"71,431km",부산,750
20,현대,쏘나타 더 브릴리언트,LPI 모던,,13/11(14년식),"70,918km",서울,890
21,현대,i30(신형),디젤 1.6 VGT PYL,,15/02,"91,000km",서울,"1,050"
22,현대,그랜드 스타렉스,어린이보호차,,15/11(16년식),"48,000km",서울,"1,890"
23,현대,뉴 아반떼 XD,1.6 VVT 디럭스,기본형,05/09,"108,000km",서울,200
24,현대,엑센트(신형),디젤 1.6 VGT 스마트,,14/08(15년식),"71,431km",부산,750
25,현대,쏘나타 더 브릴리언트,LPI 모던,,13/11(14년식),"70,918km",서울,890
26,현대,i30(신형),디젤 1.6 VGT PYL,,15/02,"91,000km",서울,"1,050"
27,현대,그랜드 스타렉스,어린이보호차,,15/11(16년식),"48,000km",서울,"1,890"
28,현대,뉴 아반떼 XD,1.6 VVT 디럭스,기본형,05/09,"108,000km",서울,200
29,현대,엑센트(신형),디젤 1.6 VGT 스마트,,14/08(15년식),"71,431km",부산,750
30,현대,쏘나타 더 브릴리언트,LPI 모던,,13/11(14년식),"70,918km",서울,890
31,현대,i30(신형),디젤 1.6 VGT PYL,,15/02,"91,000km",서울,"1,050"
32,현대,그랜드 스타렉스,어린이보호차,,15/11(16년식),"48,000km",서울,"1,890"
33,현대,뉴 아반떼 XD,1.6 VVT 디럭스,기본형,05/09,"108,000km",서울,200
34,현대,엑센트(신형),디젤 1.6 VGT 스마트,,14/08(15년식),"71,431km",부산,750
35,현대,쏘나타 더 브릴리언트,LPI 모던,,13/11(14년식),"70,918km",서울,890
36,현대,i30(신형),디젤 1.6 VGT PYL,,15/02,"91,000km",서울,"1,050"
37,현대,그랜드 스타렉스,어린이보호차,,15/11(16년식),"48,000km",서울,"1,890"
38,현대,뉴 아반떼 XD,1.6 VVT 디럭스,기본형,05/09,"108,000km",서울,200
39,현대,엑센트(신형),디젤 1.6 VGT 스마트,,14/08(15년식),"71,431km",부산,750
40,현대,쏘나타 더 브릴리언트,LPI 모던,,13/11(14년식),"70,918km",서울,890
41,현대,i30(신형),디젤 1.6 VGT PYL,,15/02,"91,000km",서울,"1,050"
42,현대,그랜드 스타렉스,어린이보호차,,15/11(16년식),"48,000km",서울,"1,890"
43,현대,뉴 아반떼 XD,1.6 VVT 디럭스,기본형,05/09,"108,000km",서울,200
44,현대,엑센트(신형),디젤 1.6 VGT 스마트,,14/08(15년식),"71,431km",부산,750
45,현대,쏘나타 더 브릴리언트,LPI 모던,,13/11(14년식),"70,918km",서울,890
46,현대,i30(신형),디젤 1.6 VGT PYL,,15/02,"91,000km",서울,"1,050"
47,현대,그랜드 스타렉스,어린이보호차,,15/11(16년식),"48,000km",서울,"1,890"
48,현대,뉴 아반떼 XD,1.6 VVT 디럭스,기본형,05/09,"108,000km",서울,200
49,현대,엑센트(신형),디젤 1.6 VGT 스마트,,14/08(15년식),"71,431km",부산,750
50,현대,쏘나타 더 브릴리언트,LPI 모던,,13/11(14년식),"70,918km",서울,890
51,현대,i30(신형),디젤 1.6 VGT PYL,,15/02,"91,000km",서울,"1,050"
52,현대,그랜드 스타렉스,어린이보호차,,15/11(16년식),"48,000km",서울,"1,890"
53,현대,뉴 아반떼 XD,1.6 VVT 디럭스,기본형,05/09,"108,000km",서울,200
54,현대,엑센트(신형),디젤 1.6 VGT 스마트,,14/08(15년식),"71,431km",부산,750
55,현대,쏘나타 더 브릴리언트,LPI 모던,,13/11(14년식),"70,918km",서울,890
56,현대,i30(신형),디젤 1.6 VGT PYL,,15/02,"91,000km",서울,"1,050"
57,현대,그랜드 스타렉스,어린이보호차,,15/11(16년식),"48,000km",서울,"1,890"
58,현대,뉴 아반떼 XD,1.6 VVT 디럭스,기본형,05/09,"108,000km",서울,200
59,현대,엑센트(신형),디젤 1.6 VGT 스마트,,14/08(15년식),"71,431km",부산,750
